ALIMENT;CODI_ALI_BANC;DESCRIPCIÓ;MACROFAMÍLIA
1185;10;PA FRESC;B
1186;11;PA DE MOTLLE - PANETS IND.;B
1187;12;PASTISSERIA BRIOIXERIA REFRIGERATS;B
1061;13;MAGDALENES, PASTISSERIA, BRIOIXERIA IND.;B
4643500;14;PASTISSERIA BRIOIXERIA PER A FORN;B
4650204;15;BRIOXERIA FESBAL;B
5464959;16;ENTREPANS-SANDWICH;B
5734168;17;PA I DERIVATS S/GLUTEN;B
1063;20;GALETES VARIADAS-NO UTILIZAR-;B
1221;21;GALETES SALADES ;B
1188;22;BISCOTTES, PALETS, PA TORRAT;B
1189;23;GALETES VARIADES;B
1064;25;GALLETAS-CREU ROJA;B
1222;26;PA AROMATITZAT RATLLAT;B
1223;30;CAFÈ (EN GRA O MOLT);G
1224;31;CAFÈ SOLUBLE;G
1225;32;SUCEDANIS DE CAFÈ;G
7867714;34;CAFÈ EN CÀPSULES;G
1226;37;INFUSIONS;G
1190;40;CACAU EN POLS;B
1191;41;DESAYUNOS;B
1192;42;CREMA CACAU AMB AVELLANES;B
1065;43;CEREALS D'ESMORZAR;B
4212511;44;CERERALES FESBAL CEREALES INFANTILES;B
1121;45;MUESLI;B
7919802;50;PASTA SENSE GLUTEN;C
7919804;51;CEREALS D'ESMORZAR SENSE GLUTEN;B
7919806;52;BRIOIXERIA SENSE GLUTEN;B
7919808;59;VARIS SENSE GLUTEN;B
1193;60;XOCOLATA EN TAULETA;A
1194;61;BOMBONS;A
1195;62;SNACKS DE XOCOLATA;A
1132278;63;BOMBONS LICOR;A
7867716;64;FIGURES DE XOCOLATA;A
7869100;65;XOCOLATA DESFETA;A
1196;70;CARAMELS I GOMINOLES DE NENS;C
1197;72;TORRONS;C
169209;73;DOLÇOS DE NADAL;C
7867718;74;XICLETS;C
1199;80;POSTRES DE CREMA, NATA;A
7867720;81;CARAMELS ADULTS;C
1201;82;PREPARAT PER A PASTISSOS;A
1200;83;POSTRES LÀCTICS SENSE FRED;A
1228;84;FLAM EN POLS;A
1198;85;CREMA-CRUZ ROJA;A
7869110;86;GELATINA EN POLS O LÀMINES;F
1122;90;LLET FRESCA REFRIGERADA;A
1123;91;LLET ESTERILITZADA UHT;A
1124;92;BATUT DE CACAU;A
1125;93;LLET CONDENSADA I EVAPORADA;A
1127837;94;PREPARADO LACTEO;A
1067;95;LLET FESBAL;A
1126;96;LECHE EN POLVO FESBAL ;A
4212522;97;LECHE EN POLVO CONTINUACION FESBAL ;A
1128;98;LLET EN POLS;A
1127;99;LLET SENSE LACTOSA;A
1129;100;FARINA DE BLAT;B
1130;102;SEMOLA, TAPIOCA I CUSCUS;B
1131;105;PURÉ DE PATATES;B
169116;106;PURÉ DE VERDURES;B
4026195;109;CUS CUS;B
1068;110;PASTA (MACARRONS, SPAGUETIS...);C
1132;111;ARROS INFLAT - CREU ROJA;C
1133;112;ARRÒS;C
149882;113;ARROZ CON LECHE CRUZ ROJA;C
1134;114;PASTA DE SOPA;C
1069;115;PASTA FESBAL;C
1070;116;PASTA SECA FARCIDA (RAVIOLI, TORTELLINI);C
1071;117;ARROZ VAPORIZADO - FESBAL;C
1072;118;ARROZ (POLLO, VERDURAS) CREU ROJA;C
1073;119;ARROZ FESBAL;C
1205;120;FRUITS SECS DIVERSOS;C
7869115;121;FRUITA SECA;C
5736566;122;CRISPETES DE BLAT DE MORO;D
1206;123;ALMENDRAS, NUECES, CACAUETES (NO UTILIZAR) ;C
1881;124;PATATES FREGIDES;C
1135;125;LLEGUM SEC;C
160667;126;PATATAS;C
7869113;127;COTNES I ALTRES FREGITS;D
7867728;128;KETCHUP;D
1207;130;SOPA DESHIDRATADA (SOBRE);D
1229;131;SOPA DESHIDRATADA (PASTILLA);D
1208;133;SOPA ENVASADA;D
7867722;134;PLATS DESHIDRATATS PASTA;D
7869106;135;PLATS DESHIDRATATS ARRÒS;D
1209;136;SOPA LÍQUIDA (TB);D
163371;137;CREMES DE VERDURES;D
4429800;138;CREMES I SOPES REFRIGERADES;D
1230;140;CONDIMENTOS VARIOS;D
1231;141;MAIONESA;D
1232;142;MOSTASSA;D
1026059;143;SALSES PER CUINAR;D
1233;144;SALSAS DIVERSAS;D
1234;145;SALSA TOMÀQUET FREGIT;D
246365;146;CONSERVES DE TOMÀQUET NATURAL;D
1235;147;ESPÈCIES (PEBRE, SAFRÀ..);D
1236;148;SAL;D
1237;149;VINAGRE;D
1136;171;MARGARINA;E
1137;172;MANTEGA;E
1138;173;OLI D'OLIVA;E
1139;174;OLI DE LLAVORS;E
1074;175;OLI D'OLIVA CREU ROJA;E
246380;176;BEGUDES VEGETALS ;G
1254;180;BEGUDA D'ATMELLES;G
7869118;181;BEGUDA D'ARRÒS;G
7869120;182;BEGUDA DE CIVADA;G
7869122;183;BEGUDA DE QUINOA;G
7869124;184;BEGUDA DE SOJA;G
1140;190;SUCRE;C
1238;191;EDULCORANT;C
4168859;192;AZUCAR FESBAL;C
1210;200;MERMELADA, CONFITURAS;D
1211;201;MEL;D
1212;203;FRUITA CONFITADA;D
1213;204;FRUITA EN ALMÍVAR;D
4416603;205;COMPOTA TRITURADA FESBAL (ass. Fruta conserva UE);D
1214;207;CODONYAT- GELÉES;D
1215;210;CONSERVA DE VERDURES;D
2102;214;CONSERVAS -OTRAS LEGUMBRES;D
1255;216;CONSERVA D'OLIVES I ENCURTITS;D
1256;217;CONSERVA DE BOLETS;D
1141;220;CONSERVA DE SARDINES;D
1142;221;CONSERVA DE TONYINA;D
7869126;222;PATÉ DE PEIX;D
1143;223;CONSERVA ALTRES PEIXOS;D
1216;230;PATÉ DE CARN I FOIEGRAS;D
1144;232;CONSERVAS DE AVES;D
1145;233;CONSERVAS DE BOVINO;D
1146;234;CONSERVAS DE BOVINO EN SALSA;D
6988302;235;CONSERVA PLAT CUINAT BASE CARN;D
1147;237;CONSERVA DE CARN;D
1148;240;PLATOS COCINADOS - CERDO(NO UTILIZAR);D
140095;241;TRUITES (HOTELS);D
1149;242;LLEGUM CUIT;D
1150;243;PLATOS COCINADOS - BOVINO;D
144588;244;CONSERVA PLAT CUINAT BASE ARRÒS;D
1151;245;CONSERVA PLAT CUINAT BASE LLEGUMS;D
1152;246;CONSERVA PLAT CUINAT BASE PEIX;D
1075;247;PLATS CUINATS - DIVERSOS (NO UTILIZAR) ;D
1153;248;CONSERVA PLAT CUINAT BASE PASTA;D
1257;249;BASES DE PIZZES REFRIGERADES;D
5490800;250;AIGUA INFANTIL BIBERO;D
1154;251;LLET INICIACIÓ 1;D
1155;252;LLET CONTINUACIÓ 2;D
1156;253;LLET CREIXEMENT 3;D
1157;254;CEREALS I FARINES INFANTILS;D
1158;255;POTET VARIAT;D
1159;256;LLET INFANTIL ESPECIAL (S/LACTOSA, SOJA);D
252768;257;ALIMENT INFANTIL VARIS - GALETES...;D
1186563;258;POTET DE VERDURA;D
1186564;259;LLET BIBERO ADAPTA 2;D
1186565;260;POTET DE PEIX;D
7870500;261;POTET DE FRUITES;D
7948700;262;POTET DE CARN;D
1076;280;AIGUA MINERAL;G
1240;281;REFRESCS CARBÒNICS;G
208189;282;SUC DE FRUITA;G
1241;283;SUC DE FRUITA REFRIGERAT;G
1242;284;CAVA;G
222390;285;ORXATA;G
4594800;286;BEGUDA ISOTÒNICA ENERGÈTICA;G
1243;287;SIDRA;G
1244;288;CERVESA;G
1245;289;VI;G
5484601;290;MOST;G
5779022;291;CERVESA SENSE ALCOHOL;G
7169000;292;BEGUDES GRAN RECAPTA;G
1217;310;LLEGUMS I VERDURES CONGELADES;I
1218;311;NO UTILIZAR ;I
169271;312;VERDURAS CONGELADAS*CONGELADOR*;I
171381;313;PATATAS CONGELADAS*CONGELADOR*;I
1160;320;PEIX CONGELAT;I
1161;325;MARISC CONGELAT;I
1162;330;CARN DE PORC CONGELADA;I
1163;331;CHARCUTERIA CONGELADA*CONGELADOR* ;I
1164;332;CARN AU CONGELADA;I
1165;333;CARN VEDELLA/BOU/ BOVI CONGELADA;I
1166;337;CARNE OVINO(NO UTILIZAR);I
1167;340;CERDO COCINADO CONG. (NO USAR;I
5471501;341;CARNE DE CERDO CONGELADA (NO USAR;I
1168;342;AVES COCINADAS(NO UTILIZAR);I
1169;343;TERNERA COCINADA CONGELADA;I
5761204;344;PIZZES CONGELADES;I
1170;345;CORDERO COCINADO(NO UTILIZAR);I
1171;346;PESCADO COCINADO(NO UTILIZAR);I
1172;347;CONGELATS VARIS;I
1104914;348;PASTA CONGELADA;I
1104946;349;VERDURAS Y LEGUMBRES(NO UTILIZAR);I
1219;350;GELATS;I
1202326;351;NATA CONGELADA;I
1220;355;PASTISSERIA I BRIOIXERIA CONGELADA;I
7867724;356;CREMAS Y SOPAS CONGELADAS;I
7870503;357;BASES DE PIZZA CONGELADAS;I
5578012;360;PA CONGELAT;B
NOU 2017;361;POLLASTRE CUINAT TRACTAMENT ESPECIAL;D
NOU 2017;362;PLAT PRECUINAT HORECA;D
