CODI_ENT_BANC;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
1;300;783;762;500;470;470;0;0;0;0
2;410;170;200;200;200;200;200;200;200;200
3;140;158;2800;76;99;99;108;89;89;78
4;172;70;110;99;92;95;95;35;35;20
5;1357;495;900;890;820;999;580;483;483;770
6;126;0;0;0;66;0;0;0;0;0
7;0;0;0;0;105;0;0;0;0;0
8;554;287;477;218;337;381;386;384;384;375
9;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;443;0;0;0;0;0
11;4768;1775;1896;1846;730;771;1108;1607;1607;1561
12;0;0;0;0;280;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0
15;30;0;0;0;30;0;0;0;0;0
16;313;145;105;375;385;385;385;388;388;160
17;3083;974;1115;1298;1286;1286;1286;1853;1853;470
18;1474;1350;1112;1010;1050;3866;3681;3557;3557;3573
19;0;0;0;0;147;0;0;0;0;0
20;2939;1454;2221;1624;2596;2596;2892;2115;2115;4944
21;0;0;0;0;0;0;0;0;0;0
22;532;620;651;609;745;759;708;491;491;368
23;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;50;0;0;0;0;0
25;595;287;290;316;258;110;80;12;12;0
26;197;82;77;0;67;0;0;0;0;0
27;950;581;392;787;747;747;692;548;548;382
28;620;180;175;353;300;74;74;74;74;0
29;598;404;403;624;624;624;624;558;558;477
30;448;258;415;467;2868;3857;2882;2160;2160;1663
31;0;0;0;0;0;0;0;0;0;0
32;545;475;414;503;327;327;333;125;125;125
33;122;70;98;0;92;0;0;0;0;0
34;0;0;0;0;0;0;0;0;0;0
35;0;0;0;0;0;0;65;65;65;0
36;1706;701;807;820;860;860;875;790;790;783
37;0;0;0;0;0;0;0;0;0;0
38;58;20;20;15;30;23;0;0;0;0
39;235;147;148;212;225;225;225;125;125;124
40;818;391;391;468;513;0;0;0;0;0
41;1314;162;196;190;148;163;177;0;0;0
42;98;187;335;400;411;411;411;411;411;188
43;894;672;746;484;562;562;562;543;543;541
44;649;268;294;562;566;580;580;245;245;348
45;0;0;0;0;0;0;0;0;0;0
46;40;0;0;0;40;0;0;0;0;0
47;312;270;1030;688;648;648;797;797;797;781
48;0;0;0;0;0;0;0;0;0;0
49;0;0;0;0;0;0;0;0;0;0
50;0;0;0;0;0;0;0;0;0;0
51;161;50;44;88;43;0;0;0;0;0
52;58;29;29;0;29;0;0;0;0;0
53;811;453;512;650;650;650;500;328;328;386
54;263;130;0;170;250;570;540;547;547;503
55;0;0;0;0;0;0;0;0;0;0
56;194;88;87;85;85;85;85;85;85;0
57;585;388;367;579;694;686;686;686;686;613
58;225;110;110;149;120;120;145;87;87;36
59;206;100;100;100;100;25;25;25;25;25
60;0;0;0;0;0;0;0;0;0;0
61;0;0;0;0;0;0;0;0;0;0
62;0;0;0;0;10;0;0;0;0;0
63;0;0;0;0;0;0;0;0;0;0
64;234;160;298;180;165;675;485;625;625;350
65;0;0;0;0;0;0;0;0;0;0
66;85;65;19;38;68;49;33;25;25;35
67;210;124;45;92;92;124;126;85;85;128
68;0;0;0;0;190;0;0;0;0;0
69;0;0;0;0;0;0;0;0;0;0
70;35;15;15;15;15;15;15;15;15;15
71;0;0;0;0;421;0;0;0;0;0
72;144;41;47;26;26;26;26;27;27;27
73;0;0;0;0;0;0;0;0;0;0
74;340;210;250;250;250;250;250;260;260;120
75;150;400;0;399;465;465;465;550;550;0
76;0;225;370;425;425;425;425;425;425;236
77;0;0;0;0;0;0;0;0;0;0
78;375;210;150;80;100;100;100;100;100;0
79;200;0;0;0;0;0;0;0;0;0
80;432;252;202;202;215;215;236;239;239;187
81;690;378;553;368;714;714;250;411;411;223
82;185;100;92;100;100;100;100;35;35;0
83;328;158;160;160;186;285;285;284;284;267
84;0;0;0;0;0;0;0;0;0;0
85;17;0;0;0;17;0;0;0;0;0
86;0;0;0;0;0;0;0;0;0;0
87;0;0;0;0;0;0;0;0;0;0
88;86;43;43;43;43;43;43;43;43;0
89;0;0;0;0;107;0;0;0;0;0
90;508;389;478;420;498;498;424;276;276;0
91;0;0;0;0;25;0;0;0;0;0
92;32;13;16;16;16;16;0;0;0;0
93;1147;388;593;486;566;474;474;309;309;420
94;0;0;0;0;0;0;0;0;0;0
95;0;0;0;0;0;0;0;0;0;0
96;88;120;88;88;88;88;88;68;68;0
97;177;162;129;149;252;252;169;281;281;310
98;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;35;0;0;0;0;0
100;0;0;0;0;15;0;0;0;0;0
101;758;532;197;420;220;229;229;160;160;0
102;441;325;495;300;300;835;835;349;349;307
103;180;0;0;0;90;0;0;0;0;0
104;767;288;99;88;88;88;0;0;0;0
105;791;400;427;340;380;380;263;194;194;266
106;0;0;0;0;0;0;0;0;0;0
107;3320;1239;852;844;855;858;780;260;260;0
108;320;84;51;56;56;0;0;0;0;0
109;205;125;80;150;365;180;180;206;206;191
110;435;214;160;298;380;160;160;142;142;45
111;160;139;103;164;164;177;190;164;164;126
112;458;170;180;357;546;546;546;661;661;563
113;0;0;0;0;0;0;0;0;0;0
114;108;49;34;35;40;40;35;36;36;30
115;0;0;0;0;30;0;0;0;0;0
