DATA,QUANTITAT
"2014-07-02",1965
"2014-07-03",1764
"2014-07-04",168
"2014-07-07",1653
"2014-07-08",366
"2014-07-09",2463
"2014-07-10",1169
"2014-07-11",676
"2014-07-14",914
"2014-07-15",602
"2014-07-16",2288
"2014-07-17",1415
"2014-07-18",360
"2014-07-21",1390
"2014-07-22",154
"2014-07-23",1196
"2014-07-24",1272
"2014-07-25",146
"2014-07-28",450
"2014-07-29",1095
"2014-07-30",816
"2014-07-31",504
"2014-08-01",504
"2014-08-04",1611
"2014-08-05",2047
"2014-08-06",2597
"2014-08-07",1278
"2014-08-08",1141
"2014-08-18",600
"2014-09-01",1218
"2014-09-02",2190
"2014-09-03",1144
"2014-09-04",1533
"2014-09-05",168
"2014-09-08",1459
"2014-09-09",1434
"2014-09-10",1837
"2014-09-11",268
"2014-09-12",495
"2014-09-15",2869
"2014-09-16",1386
"2014-09-17",5268
"2014-09-18",2285
"2014-09-25",1539
"2014-09-26",1619
"2014-09-29",1251
"2014-09-30",223
"2014-10-01",2449
"2014-10-02",2460
"2014-10-03",480
"2014-10-06",3346
"2014-10-07",1446
"2014-10-08",1641
"2014-10-09",1973
"2014-10-10",314
"2014-10-13",394
"2014-10-14",138
"2014-10-15",1001
"2014-10-16",988
"2014-11-03",29921
"2014-11-04",121
"2014-11-05",421
"2014-11-06",188
"2014-11-07",159
"2014-11-10",1011
"2014-11-11",655
"2014-11-12",750
"2014-11-13",6599
"2014-11-19",468
"2014-11-20",397
"2014-11-21",159
"2014-11-24",1119
"2014-11-25",832
"2014-11-26",624
"2014-11-27",361
"2014-11-28",642
"2014-12-01",522
"2014-12-02",101
"2014-12-04",931
"2014-12-09",1301
"2014-12-10",2043
"2014-12-11",2215
"2014-12-12",2722
"2014-12-15",2640
"2014-12-16",1156
"2014-12-17",2083
"2014-12-18",1317
"2014-12-19",623
"2014-12-22",4567
"2014-12-23",3663
"2014-12-24",748
"2014-12-29",625
"2014-12-30",528
"2014-12-31",1212
"2015-01-02",376
"2015-01-05",1415
"2015-01-07",1719
"2015-01-08",3309
"2015-01-09",1953
"2015-01-12",2239
"2015-01-13",1127
"2015-01-14",759
"2015-01-15",1974
"2015-01-16",1455
"2015-01-19",3198
"2015-01-20",1801
"2015-01-21",1579
"2015-01-22",1156
"2015-01-23",210
"2015-01-26",587
"2015-01-27",642
"2015-01-28",492
"2015-01-30",168
"2015-02-02",558
"2015-02-03",183
"2015-02-04",897
"2015-02-05",180
"2015-02-06",336
"2015-02-09",756
"2015-02-10",440
"2015-02-11",261
"2015-02-12",470
"2015-02-13",65
"2015-02-16",747
"2015-02-17",791
"2015-02-18",1163
"2015-02-19",1065
"2015-02-20",70
"2015-02-23",226
"2015-02-24",459
"2015-02-25",940
"2015-02-26",174
"2015-02-27",220
"2015-03-01",151
"2015-03-02",1294
"2015-03-03",619
"2015-03-04",609
"2015-03-05",625
"2015-03-06",99
"2015-03-09",264
"2015-03-10",756
"2015-03-11",875
"2015-03-12",1442
"2015-03-13",83
"2015-03-16",495
"2015-03-17",752
"2015-03-18",911
"2015-03-19",602
"2015-03-20",24
"2015-03-23",13
"2015-03-24",131
"2015-03-25",440
"2015-03-26",411
"2015-03-27",65
"2015-03-30",63
"2015-04-01",1295
"2015-04-02",343
"2015-04-07",257
"2015-04-08",1424
"2015-04-09",844
"2015-04-10",207
"2015-04-13",714
