ENTITAT_RECEPTORA;CODI_ENT_BANC;TIPOLOGIA;Població;Municipi;CP;Comarca;Districte municipal BCN
1281;1;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1282;2;Entitats Receptores Ordinàries;Barcelona;;08024;Barcelonès;Horta-Guinardó
1283;3;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1284;4;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1285;5;Entitats Receptores Ordinàries;Barcelona;;08034;Barcelonès;Sarrià-Sant Gervasi
1286;6;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1287;7;Entitats Receptores Ordinàries;Barcelona;;08024;Barcelonès;Horta-Guinardó
1288;8;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1289;9;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1290;10;Entitats Receptores Ordinàries;El Prat de Llobregat;;08820;Baix Llobregat; 
1291;11;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1292;12;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1293;13;Entitats Receptores Ordinàries;Barcelona;;08024;Barcelonès;Gràcia
1294;14;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1295;15;Entitats Receptores Ordinàries;Barcelona;;08023;Barcelonès;Gràcia
1296;16;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1297;17;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1298;18;Entitats Receptores Ordinàries;Sant Boi de Llobregat;;08830;Baix Llobregat; 
1299;19;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1300;20;Entitats Receptores Ordinàries;Mataró;;08301;Maresme; 
1006032;21;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1910;22;Entitats Receptores Ordinàries;Barcelona;;08038;Barcelonès;Sants-Montjuic
1302;23;Entitats Receptores Ordinàries;Barcelona;;08021;Barcelonès;Sarrià-Sant Gervasi
1303;24;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1304;25;Entitats Receptores Ordinàries;Barcelona;;08025;Barcelonès;Gràcia
1305;26;Entitats Receptores Ordinàries;Barcelona;;08032;Barcelonès;Horta-Guinardó
1306;27;Entitats Receptores Ordinàries;L'Hospitalet de Llobregat;;08907;Barcelonès; 
1307;28;Entitats Receptores Ordinàries;Sant Esteve Sesrovires;;08635;Baix Llobregat; 
1308;29;Entitats Receptores Ordinàries;L'Hospitalet de Llobregat;;08902;Barcelonès; 
1309;30;Entitats Receptores Ordinàries;Barcelona;;08016;Barcelonès;Nou Barris
1310;31;Entitats Receptores Ordinàries;Barcelona;;08014;Barcelonès;Sants-Montjuic
1311;32;Entitats Receptores Ordinàries;Barcelona;;08041;Barcelonès;Horta-Guinardó
1312;33;Entitats Receptores Ordinàries;Girona;;17080;Gironès; 
1313;34;Entitats Receptores Ordinàries;Barcelona;;08024;Barcelonès;Gràcia
1314;35;Entitats Receptores Ordinàries;Barcelona;;08025;Barcelonès;Gràcia
1315;36;Entitats Receptores Ordinàries;Barcelona;;08034;Barcelonès;Sarrià-Sant Gervasi
1316;37;Entitats Receptores Ordinàries;L'HOSPITALET DE LLOBREGAT;;08907;Barcelonès; 
1317;38;Entitats Receptores Ordinàries;Sant Adrià de Besòs;;08930;Barcelonès; 
1318;39;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1319;40;Entitats Receptores Ordinàries;Terrassa;;08224;Vallès Occidental; 
1320;41;Entitats Receptores Ordinàries;Barcelona;;08025;Barcelonès;L'Eixample
1321;42;Entitats Receptores Ordinàries;Sabadell;;08204;Vallès Occidental; 
1322;43;Entitats Receptores Ordinàries;Cerdanyola del Vallès;;08290;Vallès Occidental; 
1323;44;Entitats Receptores Ordinàries;Barcelona;;08027;Barcelonès;Sant Andreu
1006036;45;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1324;46;Entitats Receptores Ordinàries;Sant Boi de Llobregat;;08830;Baix Llobregat; 
1325;47;Entitats Receptores Ordinàries;Ripollet;;08291;Vallès Occidental; 
1326;48;Entitats Receptores Ordinàries;L'Hospitalet de Llobregat;;08908;Barcelonès;
1006037;49;Entitats Receptores Ordinàries;Esplugues de Llobregat;;08950;Baix Llobregat;
1006038;50;Entitats Receptores Ordinàries;Cornellà de Llobregat;;08940;Baix Llobregat;
1327;51;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1328;52;Entitats Receptores Ordinàries;Sant Vicenç dels Horts;;08620;Baix Llobregat;
1329;53;Entitats Receptores Ordinàries;Badalona;;08918;Barcelonès;
1330;54;Entitats Receptores Ordinàries;Barcelona;;08016;Barcelonès;Nou Barris
1331;55;Entitats Receptores Ordinàries;Terrassa;;08223;Vallès Occidental;
1332;56;Entitats Receptores Ordinàries;Barcelona;;08024;Barcelonès;Gràcia
1333;57;Entitats Receptores Ordinàries;Castelldefels;;08860;Baix Llobregat;
1334;58;Entitats Receptores Ordinàries;Sant Adrià de Besòs;;08930;Barcelonès; 
1335;59;Entitats Receptores Ordinàries;El Masnou;;08320;Maresme; 
1336;60;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1337;61;Altres Entitats Receptores;;;;;
1338;62;Entitats Receptores Ordinàries;Sabadell;;08202;Vallès Occidental;
1339;63;Entitats Receptores Ordinàries;Barcelona;;08034;Barcelonès;Les Corts
1340;64;Entitats Receptores Ordinàries;Terrassa;;08224;Vallès Occidental;
1341;65;Entitats Receptores Ordinàries;Castellbell i el Vilar;;08296;Bages;
1342;66;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1343;67;Entitats Receptores Ordinàries;Barcelona;;08027;Barcelonès;Sant Martí
1344;68;Entitats Receptores Ordinàries;Mataró;;08304;Maresme; 
1345;69;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1346;70;Entitats Receptores Ordinàries;Sant Just Desvern;;08960;Baix Llobregat; 
1347;71;Entitats Receptores Ordinàries;Castelldefels;;08860;Baix Llobregat; 
1348;72;Entitats Receptores Ordinàries;Llinars del Vallès;;08450;Vallès Oriental; 
1349;73;Entitats Receptores Ordinàries;Barcelona;;08033;Barcelonès;Nou Barris
1350;74;Entitats Receptores Ordinàries;Badalona;;08918;Barcelonès; 
1351;75;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1352;76;Entitats Receptores Ordinàries;Badia del Vallès;;08214;Vallès Occidental; 
1353;77;Entitats Receptores Ordinàries;L'Hospitalet de Llobregat;;08907;Barcelonès;
1354;78;Entitats Receptores Ordinàries;Barcelona;;08035;Barcelonès;Horta-Guinardó
1355;79;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1087;80;Entitats Receptores Ordinàries;Barcelona;;08006;Barcelonès;Sarrià-Sant Gervasi
1356;81;Entitats Receptores Ordinàries;Badalona;;08914;Barcelonès; 
1357;82;Entitats Receptores Ordinàries;Barcelona;;08024;Barcelonès;Gràcia
1358;83;Entitats Receptores Ordinàries;Barcelona;;08028;Barcelonès;Les Corts
1359;84;Entitats Receptores Ordinàries;Barcelona;;08032;Barcelonès;Horta-Guinardó
1360;85;Entitats Receptores Ordinàries;Sant Feliu de Llobregat;;08980;Baix Llobregat; 
1361;86;Entitats Receptores Ordinàries;Barcelona;;08006;Barcelonès;Sarrià-Sant Gervasi
1362;87;Entitats Receptores Ordinàries;Barcelona;;08006;Barcelonès;Gràcia
1363;88;Entitats Receptores Ordinàries;Sant Cugat del Vallès;;08190;Vallès Occidental; 
1364;89;Entitats Receptores Ordinàries;Vilanova i la Geltrú;;08800;Garraf; 
1365;90;Entitats Receptores Ordinàries;Barcelona;;08014;Barcelonès;Sants-Montjuic
1366;91;Entitats Receptores Ordinàries;Barcelona;;08025;Barcelonès;L'Eixample
1367;92;Entitats Receptores Ordinàries;Barcelona;;08010;Barcelonès;L'Eixample
1368;93;Entitats Receptores Ordinàries;Barcelona;;08014;Barcelonès;Sants-Montjuic
1369;94;Entitats Receptores Ordinàries;Barcelona;;08019;Barcelonès;Sant Martí
1370;95;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1371;96;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1372;97;Entitats Receptores Ordinàries;Barcelona;;08025;Barcelonès;L'Eixample
1373;98;Entitats Receptores Ordinàries;Barcelona;;08024;Barcelonès;Gràcia
1374;99;Entitats Receptores Ordinàries;Monistrol de Montserrat;;08691;Bages; 
1375;100;Entitats Receptores Ordinàries;Barcelona;;08023;Barcelonès;Gràcia
1376;101;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1377;102;Entitats Receptores Ordinàries;Barcelona;;08019;Barcelonès;Sant Martí
1378;103;Entitats Receptores Ordinàries;Sitges;;08870;Garraf; 
1379;104;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1380;105;Entitats Receptores Ordinàries;Barcelona;;08032;Barcelonès;Horta-Guinardó
1381;106;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1382;107;Entitats Receptores Ordinàries;Barcelona;;08017;Barcelonès;Sarrià-Sant Gervasi
1383;108;Entitats Receptores Ordinàries;Sabadell;;08208;Vallès Occidental;
1909;109;Entitats Receptores Ordinàries;Barcelona;;08019;Barcelonès;Sant Martí
1384;110;Entitats Receptores Ordinàries;Barcelona;;08041;Barcelonès;Horta-Guinardó
1385;111;Entitats Receptores Ordinàries;Barcelona;;08017;Barcelonès;Sarrià-Sant Gervasi
1386;112;Entitats Receptores Ordinàries;Cardedeu;;08440;Vallès Oriental; 
1387;113;Entitats Receptores Ordinàries;Barcelona;;08017;Barcelonès;Sarrià-Sant Gervasi
1388;114;Entitats Receptores Ordinàries;Barcelona;;08028;Barcelonès;Les Corts
1389;115;Entitats Receptores Ordinàries;Barcelona;;08027;Barcelonès;Sant Andreu
1390;116;Entitats Receptores Ordinàries;Barcelona;;08004;Barcelonès;Sants-Montjuic
1391;117;Entitats Receptores Ordinàries;Barcelona;;08030;Barcelonès;Sant Andreu
1392;118;Entitats Receptores Ordinàries;Barcelona;;08035;Barcelonès;Horta-Guinardó
1084;119;Entitats Receptores Ordinàries;Barcelona;;08023;Barcelonès;Gràcia
1393;120;Entitats Receptores Ordinàries;Ripollet;;08291;Vallès Occidental; 
1394;121;Entitats Receptores Ordinàries;Sabadell;;08202;Vallès Occidental;
1395;122;Entitats Receptores Ordinàries;Barcelona;;08004;Barcelonès;Sants-Montjuic
1396;123;Entitats Receptores Ordinàries;Barcelona;;08017;Barcelonès;Sarrià-Sant Gervasi
1397;124;Entitats Receptores Ordinàries;Barcelona;;08038;Barcelonès;Sants-Montjuic
1398;125;Entitats Receptores Ordinàries;Vic;;08500;Osona; 
1399;126;Entitats Receptores Ordinàries;Arenys de Mar;;08350;Maresme; 
1400;127;Entitats Receptores Ordinàries;Barcelona;;08033;Barcelonès;Nou Barris
1086;128;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1401;129;Entitats Receptores Ordinàries;Moià;;08180;Bages; 
1402;130;Entitats Receptores Ordinàries;Santa Coloma de Gramenet;;08921;Barcelonès; 
1403;131;Entitats Receptores Ordinàries;Barcelona;;08007;Barcelonès;L'Eixample
1404;132;Entitats Receptores Ordinàries;Barcelona;;08035;Barcelonès;Horta-Guinardó
1405;133;Entitats Receptores Ordinàries;Sabadell;;08202;Vallès Occidental; 
1406;134;Entitats Receptores Ordinàries;Rubí;;08191;Vallès Occidental; 
1407;135;Entitats Receptores Ordinàries;Barcelona;;08033;Barcelonès;Nou Barris
1408;136;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1409;137;Entitats Receptores Ordinàries;Barcelona;;08005;Barcelonès;Sant Martí
1410;138;Entitats Receptores Ordinàries;Barcelona;;08012;Barcelonès;Gràcia
1411;139;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1412;140;Entitats Receptores Ordinàries;Sant Joan de Mediona;;08777;Alt Penedès;
1413;141;Entitats Receptores Ordinàries;Esparreguera;;08292;Baix Llobregat; 
1414;142;Entitats Receptores Ordinàries;Balaguer;;25600;Noguera; 
1415;143;Entitats Receptores Ordinàries;Barcelona;;08025;Barcelonès;L'Eixample
1416;144;Entitats Receptores Ordinàries;Sant Boi de Llobregat;;08830;Baix Llobregat; 
1417;145;Entitats Receptores Ordinàries;Barcelona;;08017;Barcelonès;Sarrià-Sant Gervasi
1418;146;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1419;147;Entitats Receptores Ordinàries;Barcelona;;08042;Barcelonès;Nou Barris
1420;148;Entitats Receptores Ordinàries;Barcelona;;08019;Barcelonès;Sant Martí
1421;149;Entitats Receptores Ordinàries;Barcelona;;08014;Barcelonès;Sants-Montjuic
1422;150;Entitats Receptores Ordinàries;Barcelona;;08016;Barcelonès;Nou Barris
1423;151;Entitats Receptores Ordinàries;Barcelona;;08019;Barcelonès;Sant Martí
1424;152;Entitats Receptores Ordinàries;Barcelona;;08026;Barcelonès;L'Eixample
1425;153;Entitats Receptores Ordinàries;Barcelona;;08013;Barcelonès;L'Eixample
1426;154;Entitats Receptores Ordinàries;Barcelona;;08016;Barcelonès;Nou Barris
1427;155;Entitats Receptores Ordinàries;Barcelona;;08020;Barcelonès;Sant Martí
1089;156;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1428;157;Entitats Receptores Ordinàries;Badalona;;08918;Barcelonès; 
1006039;158;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1429;159;Entitats Receptores Ordinàries;Barcelona;;08028;Barcelonès;Les Corts
1430;160;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1091;161;Entitats Receptores Ordinàries;Barcelona;;08033;Barcelonès;Nou Barris
1431;162;Entitats Receptores Ordinàries;Barcelona;;08035;Barcelonès;Horta-Guinardó
1432;163;Entitats Receptores Ordinàries;Barcelona;;08026;Barcelonès;Sant Martí
1433;164;Entitats Receptores Ordinàries;Barcelona;;08033;Barcelonès;Nou Barris
1434;165;Entitats Receptores Ordinàries;Barcelona;;08006;Barcelonès;Sarrià-Sant Gervasi
1435;166;Entitats Receptores Ordinàries;Barcelona;;08035;Barcelonès;Horta-Guinardó
1436;167;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1437;168;Entitats Receptores Ordinàries;Vilassar de Mar;;08340;Maresme; 
1438;169;Entitats Receptores Ordinàries;Barcelona;;08024;Barcelonès;Horta-Guinardó
1439;170;Entitats Receptores Ordinàries;Barberà del Vallès;;08210;Vallès Occidental; 
1440;171;Entitats Receptores Ordinàries;Sabadell;;08204;Vallès Occidental; 
1441;172;Entitats Receptores Ordinàries;Barcelona;;08009;Barcelonès;L'Eixample
1442;173;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1443;174;Entitats Receptores Ordinàries;L'Hospitalet de Llobregat;;08906;Barcelonès;
1444;175;Entitats Receptores Ordinàries;Sant Andreu de la Barca;;08740;Baix Llobregat; 
1445;176;Entitats Receptores Ordinàries;Sant Adrià de Besòs;;08930;Barcelonès; 
1446;177;Entitats Receptores Ordinàries;L'Hospitalet de Llobregat;;08905;Barcelonès; 
1447;178;Entitats Receptores Ordinàries;Argentona;;08310;Maresme; 
1448;179;Entitats Receptores Ordinàries;Barcelona;;08042;Barcelonès;Nou Barris
1449;180;Entitats Receptores Ordinàries;Barcelona;;08038;Barcelonès;Sants-Montjuic
1450;181;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1451;182;Entitats Receptores Ordinàries;Sabadell;;08208;Vallès Occidental; 
1452;183;Entitats Receptores Ordinàries;Cerdanyola del Vallès;;08290;Vallès Occidental; 
1453;184;Entitats Receptores Ordinàries;Gavà;;08850;Baix Llobregat; 
1454;185;Entitats Receptores Ordinàries;Barcelona;;08038;Barcelonès;Sants-Montjuic
1455;186;Entitats Receptores Ordinàries;Barcelona;;08020;Barcelonès;Sant Martí
1456;187;Entitats Receptores Ordinàries;Barcelona;;08006;Barcelonès;Sarrià-Sant Gervasi
1457;188;Entitats Receptores Ordinàries;Barcelona;;08020;Barcelonès;Sant Martí
1458;189;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1459;190;Entitats Receptores Ordinàries;Barcelona;;08032;Barcelonès;Horta-Guinardó
1460;191;Entitats Receptores Ordinàries;Santa Coloma de Gramenet;;08922;Barcelonès; 
1461;192;Entitats Receptores Ordinàries;Mollet del Vallès;;08100;Vallès Oriental;
1462;193;Entitats Receptores Ordinàries;Barcelona;;08012;Barcelonès;Gràcia
1463;194;Entitats Receptores Ordinàries;Barcelona;;08020;Barcelonès;Sant Martí
1464;195;Entitats Receptores Ordinàries;Barcelona;;08006;Barcelonès;Sarrià-Sant Gervasi
1465;196;Entitats Receptores Ordinàries;Sant Vicenç dels Horts;;08620;Baix Llobregat; 
1466;197;Entitats Receptores Ordinàries;Barcelona;;08025;Barcelonès;L'Eixample
1467;198;Entitats Receptores Ordinàries;Vilafranca del Penedès;;08720;Alt Penedès; 
1468;199;Entitats Receptores Ordinàries;Barcelona;;08019;Barcelonès;Sant Martí
1469;200;Entitats Receptores Ordinàries;Sabadell;;08205;Vallès Occidental; 
1470;201;Entitats Receptores Ordinàries;Sant Andreu de la Barca;;08740;Baix Llobregat; 
1471;202;Entitats Receptores Ordinàries;Barcelona;;08033;Barcelonès;Nou Barris
1472;203;Entitats Receptores Ordinàries;Barcelona;;08008;Barcelonès;L'Eixample
1473;204;Entitats Receptores Ordinàries;Santa Perpètua de Mogoda;;08130;Vallès Occidental; 
1474;205;Entitats Receptores Ordinàries;Badalona;;08912;Barcelonès; 
1475;206;Entitats Receptores Ordinàries;Mollet del Vallès;;08100;Vallès Oriental; 
1476;207;Entitats Receptores Ordinàries;Barcelona;;08016;Barcelonès;Nou Barris
1477;208;Entitats Receptores Ordinàries;Sant Adrià de Besòs;;08930;Barcelonès; 
1478;209;Entitats Receptores Ordinàries;Montmeló;;08160;Vallès Oriental; 
1479;210;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1480;211;Entitats Receptores Ordinàries;Barcelona;;08016;Barcelonès;Nou Barris
1481;212;Entitats Receptores Ordinàries;Barcelona;;08020;Barcelonès;Sant Martí
1482;213;Entitats Receptores Ordinàries;Barcelona;;08022;Barcelonès;Sarrià-Sant Gervasi
1483;214;Entitats Receptores Ordinàries;Sant Feliu de Llobregat;;08980;Baix Llobregat; 
1484;215;Entitats Receptores Ordinàries;Abrera;;08630;Baix Llobregat; 
1485;216;Entitats Receptores Ordinàries;Sant Cugat del Vallès;;08195;Vallès Oriental;
1486;217;Entitats Receptores Ordinàries;Sant Joan Despí;;08970;Baix Llobregat; 
1487;218;Entitats Receptores Ordinàries;Badalona;;08915;Barcelonès; 
1488;219;Entitats Receptores Ordinàries;Sant Vicenç dels Horts;;08620;Baix Llobregat; 
1489;220;Entitats Receptores Ordinàries;Cerdanyola del Vallès;;08290;Vallès Occidental; 
1490;221;Entitats Receptores Ordinàries;Viladecans;;08840;Baix Llobregat; 
1491;222;Entitats Receptores Ordinàries;Barcelona;;08020;Barcelonès;Sant Martí
1492;223;Entitats Receptores Ordinàries;Gelida;;08790;Alt Penedès; 
1493;224;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1494;225;Entitats Receptores Ordinàries;Premià de Mar;;08330;Maresme; 
1495;226;Entitats Receptores Ordinàries;Barcelona;;08019;Barcelonès;Sant Martí
1496;227;Entitats Receptores Ordinàries;Pallejà;;08780;Baix Llobregat; 
1497;228;Entitats Receptores Ordinàries;Barcelona;;08015;Barcelonès;L'Eixample
1498;229;Entitats Receptores Ordinàries;Montcada i Reixac;;08110;Vallès Occidental; 
1499;230;Entitats Receptores Ordinàries;Badalona;;08914;Barcelonès;
1500;231;Entitats Receptores Ordinàries;Tordera;;08490;Maresme; 
1501;232;Entitats Receptores Ordinàries;Sabadell;;08203;Vallès Occidental; 
1502;233;Entitats Receptores Ordinàries;Castellbell i el Vilar;;08296;Bages; 
1503;234;Entitats Receptores Ordinàries;Vilafranca del Penedès;;08720;Alt Penedès; 
1504;235;Entitats Receptores Ordinàries;Barcelona;;08017;Barcelonès;Sarrià-Sant Gervasi
1505;236;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1506;237;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1507;238;Entitats Receptores Ordinàries;L'Hospitalet de Llobregat;;08906;Barcelonès; 
1508;239;Entitats Receptores Ordinàries;Barcelona;;08020;Barcelonès;Sant Martí
1509;240;Entitats Receptores Ordinàries;Badalona;;08917;Barcelonès; 
1510;241;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1511;242;Entitats Receptores Ordinàries;Badalona;;08911;Barcelonès; 
1512;243;Entitats Receptores Ordinàries;Barcelona;;08020;Barcelonès;Sant Martí
1911;244;Entitats Receptores Ordinàries;Barcelona;;08024;Barcelonès;Gràcia
1514;245;Entitats Receptores Ordinàries;Barcelona;;08011;Barcelonès;L'Eixample
1515;246;Entitats Receptores Ordinàries;Pallejà;;08780;Baix Llobregat; 
1516;247;Entitats Receptores Ordinàries;Barcelona;;08015;Barcelonès;L'Eixample
1912;248;Entitats Receptores Ordinàries;Sabadell;;08208;Vallès Occidental; 
1518;249;Entitats Receptores Ordinàries;El Prat de Llobregat;;08820;Baix Llobregat; 
1519;250;Entitats Receptores Ordinàries;Sabadell;;08204;Vallès Occidental; 
1520;251;Entitats Receptores Ordinàries;Barcelona;;08030;Barcelonès;Sant Andreu
1521;252;Entitats Receptores Ordinàries;Granollers;;08402;Vallès Oriental; 
1522;253;Entitats Receptores Ordinàries;Barcelona;;08030;Barcelonès;Sant Andreu
1523;254;Entitats Receptores Ordinàries;Barcelona;;08018;Barcelonès;Sant Martí
1524;255;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1525;256;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1526;257;Entitats Receptores Ordinàries;Montcada i Reixac;;08110;Vallès Oriental;
1527;258;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1528;259;Entitats Receptores Ordinàries;Barcelona;;08010;Barcelonès;L'Eixample
1529;260;Entitats Receptores Ordinàries;Barcelona;;08002;Barcelonès;Ciutat Vella
1530;261;Entitats Receptores Ordinàries;Barcelona;;08004;Barcelonès;Sants-Montjuic
1531;262;Entitats Receptores Ordinàries;Barcelona;;08019;Barcelonès;Sant Martí
1532;263;Entitats Receptores Ordinàries;Barcelona;;08022;Barcelonès;Sarrià-Sant Gervasi
1533;264;Entitats Receptores Ordinàries;Barcelona;;08036;Barcelonès;L'Eixample
1534;265;Entitats Receptores Ordinàries;Badalona;;08914;Barcelonès; 
1535;266;Entitats Receptores Ordinàries;Badalona;;08911;Barcelonès; 
1536;267;Entitats Receptores Ordinàries;Igualada;;08700;Anoia; 
1537;268;Entitats Receptores Ordinàries;Corbera de Llobregat;;08757;Baix Llobregat; 
1538;269;Entitats Receptores Ordinàries;Barcelona;;08009;Barcelonès;L'Eixample
1539;270;Entitats Receptores Ordinàries;Barcelona;;08003;Barcelonès;Ciutat Vella
1540;271;Entitats Receptores Ordinàries;Santa Coloma de Gramenet;;08923;Barcelonès; 
1541;272;Entitats Receptores Ordinàries;Terrassa;;08225;Vallès Occidental; 
1542;273;Entitats Receptores Ordinàries;Barcelona;;08001;Barcelonès;Ciutat Vella
1543;274;Entitats Receptores Ordinàries;Santa Perpètua de Mogoda;;08130;Vallès Occidental; 
1544;275;Entitats Receptores Ordinàries;Barcelona;;08011;Barcelonès;L'Eixample
1545;276;Entitats Receptores Ordinàries;Terrassa;;08234;Vallès Occidental; 
1546;277;Entitats Receptores Ordinàries;Barcelona;;08004;Barcelonès;Sants-Montjuic
1547;278;Entitats Receptores Ordinàries;Cornellà de Llobregat;;08940;Baix Llobregat;
1548;279;Entitats Receptores Ordinàries;Sant Just Desvern;;08960;Baix Llobregat; 
1549;280;Entitats Receptores Ordinàries;Igualada;;08700;Anoia; 
1550;281;Entitats Receptores Ordinàries;Sabadell;;08201;Vallès Occidental; 
1551;282;Entitats Receptores Ordinàries;Lliçà d'Amunt;;08186;Vallès Oriental;
