NAME,INHABITANTS,CODICOMAR
Alt Camp,44040,01
Alt Empordà,136520,02
Alt Penedès,106440,03
Alt Urgell,20220,04
Alta Ribagorça,3840,05
Anoia,118410,06
Aran,9850,39
Bages,173720,07
Baix Camp,188660,08
Baix Ebre,77610,09
Baix Empordà,130740,10
Baix Llobregat,807800,11
Baix Penedès,100370,12
Barcelonès,2226828,13
Berguedà,38930,14
Cerdanya,17760,15
Conca de Barberà,20060,16
Garraf,145260,17
Garrigues,19020,18
Garrotxa,55140,19
Gironès,183690,20
Maresme,438450,21
Moianès,13190,42
Montsià,68030,22
Noguera,38300,23
Osona,154780,24
Pallars Jussà,13080,25
Pallars Sobirà,6900,26
Pla d'Urgell,36850,27
Pla de l'Estany,31580,28
Priorat,9290,29
Ribera d'Ebre,21890,30
Ripollès,24890,31
Segarra,22370,32
Segrià,204550,33
Selva,165760,34
Solsonès,13460,35
Tarragonès,250800,36
Terra Alta,11530,37
Urgell,35870,38
Vallès Occidental,908030,40
Vallès Oriental,401820,41
